,Animalia,Protozoa,Algae,Plant/Fungi,Animalia,Protozoa,Algae,Plant/Fungi
Aureococcus_anophagefferens_virus,0,0,1,0,0,0,1,0
Bodo_saltans_virus,0,0,1,0,0,1,0,0
Cafeteria_roenbergensis_virus_BV_PW1,0,0,1,0,0,1,0,0
Micromonas_pusilla_virus_12T,0,0,1,1,0,0,1,0
Ostreococcus_tauri_virus_OtV5,0,0,1,1,0,0,1,0
Heterosigma_akashiwo_virus_01,0,0,1,1,0,0,1,0
Common_midwife_toad_virus,1,1,0,1,1,0,0,0
Rana_esculenta_virus,1,1,0,1,1,0,0,0
Pelophylax_esculentus_virus,1,1,0,1,1,0,0,0
Andrias_davidianus_ranavirus,1,1,0,1,1,0,0,0
Tortoise_ranavirus,1,0,1,0,1,0,0,0
Paramecium_bursaria_Chlorella_virus_1,1,0,1,1,0,0,1,0
Pandoravirus_quercus,0,1,1,0,0,1,0,0
Pandoravirus_dulcis,0,1,1,0,0,1,0,0
Emiliania_huxleyi_virus_84,1,0,1,1,0,0,1,0
European_chub_iridovirus,1,0,1,1,1,0,0,0
Lausannevirus,0,0,1,0,0,1,0,0
Testudo_hermanni_ranavirus,1,1,0,1,1,0,0,0
Saudi_moumouvirus,0,0,1,0,0,1,0,0
Acanthamoeba_polyphaga_mimivirus,0,0,1,0,0,1,0,0
Yasminevirus,0,0,1,0,0,1,0,0
